COMM,CODE,SPEC,COMM_FR,STACAC_CODE
LADYFISH,349,ELOPS SAURUS,Elops saurus,
ATLANTIC SEA POACHER,350,LEPTAGONUS DECAGONUS,Agone atlantique,
ALLIGATOR FISH (NS),351,AGONIDAE F.,Poissons-alligators (AgonidÇs),
BIGEYES (NS),352,PRIACANTHIDAE F.,Priacanthes,
BIGEYE,353,PRIACANTHUS ARENATUS,Priacanthus arenatus,
BROSMICULUS IMBERBIS,354,BROSMICULUS IMBERBIS,Brosmiculus imberbis,
REGALECUS GLESNE,355,REGALECUS GLESNE,Regalecus glesne,
RONDELETIA LORICATA,356,RONDELETIA LORICATA,Poisson-baleine diable,
MELANONUS ZUGMAYERI,357,MELANONUS ZUGMAYERI,Melanonus zugmayeri,
ATLANTIC THORNYHEAD,358,TRACHYSCORPIA CRISTULATA,Trachyscorpia cristulata,
DIPLOSPINUS MULTISTRIATUS,359,DIPLOSPINUS MULTISTRIATUS,Diplospinus multistriatus,
STICKLEBACK UNIDENTIFIED,360,GASTEROSTEIDAE F.,êpinoches,
THREESPINE STICKLEBACK,361,GASTEROSTEUS ACULEATUS,êpinoche Ö trois Çpines,
NINESPINE STICKLEBACK,362,PUNGITIUS PUNGITIUS,êpinoche Ö neuf Çpines,
FOURSPINE STICKLEBACK,363,APELTES QUADRACUS,êpinoche Ö quatre Çpines,
BLACKSPOTTED STICKLEBACK,364,GASTEROSTEUS WHEATLANDI,êpinoche tachetÇe,
BREGMACEROS ATLANTICUS,365,BREGMACEROS ATLANTICUS,Bregmaceros atlanticus,
SHORTSPINE BOARFISH,366,ANTIGONIA COMBATIA,Antigonia combatia,
BALLONFISH,367,DIODON HOLOCANTHUS,Poisson ballon,
MELAMPHAES PUMILUS,368,MELAMPHAES PUMILUS,Melamphaes pumilus,
CHLOPSIS SP.,369,CHLOPSIS SP.,Chlopsis sp.,
MYCTOPHUM SP.,370,MYCTOPHUM SP.,Lanternes mÇtalliques,
HEMIPTERONOTUS SP.,371,HEMIPTERONOTUS SP.,Hemipteronotus sp.,
THALASSOMA BIFASCIATUM,372,THALASSOMA BIFASCIATUM,Thalassoma bifasciatum,
MELANOCETUS SP.,373,MELANOCETUS SP.,Melanocetus sp.,
HEMANTHIAS SP.,374,HEMANTHIAS SP.,Hemanthias sp.,
ANTENNARIUS SP.,375,ANTENNARIUS SP.,Antennarius sp.,
POLYIPNUS SP.,376,POLYIPNUS SP.,Polyipnus sp.,
DECAPTERUS SP.,377,DECAPTERUS SP.,Decapterus sp.,
GLOSSANODON SP.,378,GLOSSANODON SP.,Glossanodon sp.,
CYCLOPSETTA SP.,379,CYCLOPSETTA SP.,Cyclopsetta sp.,
HOLOCANTHUS SP.,380,HOLOCANTHUS SP.,Holocanthus sp.,
SYMPHYSANODON SP.,381,SYMPHYSANODON SP.,Symphysanodon sp.,
MONOLENE SP.,382,MONOLENE SP.,Monolene sp.,
EVERMANELLA BALBOA,383,EVERMANELLA BALBOA,Dent-de-sabre rose,
DEEPBODY BOARFISH,384,ANTIGONIA CAPROS,Antigonia capros,
DEEPWATER FLOUNDER,385,MONOLENE SESSILICAUDA,Monolene sessilicauda,
SMALLMOUTH FLOUNDER,386,ETROPUS MICROSTOMUS,Etropus microstomus,
HORNED WHIFF,387,CITHARICHTHYS CORNUTUS,Citharichthys cornutus,
CITHARICHTHYS GYMNORHINUS,388,CITHARICHTHYS GYMNORHINUS,Citharichthys gymnorhinus,
ICHTHYOCOCCUS OVATUS,389,ICHTHYOCOCCUS OVATUS,Ichthyococcus ovatus,
MARGRETHIA OBTUSIROSTRA,390,MARGRETHIA OBTUSIROSTRA,Margrethia obtusirostra,
FLAGELLOSTOMIAS BOUREEI,391,FLAGELLOSTOMIAS BOUREEI,Flagellostomias boureei,
CHIROSTOMIAS PLIOPTERUS,392,CHIROSTOMIAS PLIOPTERUS,Chirostomias pliopterus,
EUSTOMIAS BIGELOWI,393,EUSTOMIAS BIGELOWI,Eustomias bigelowi,
EUSTOMIAS LIPOCHIRUS,394,EUSTOMIAS LIPOCHIRUS,Eustomias lipochirus,
MACROSTOMIAS LONGIBARBATUS,395,MACROSTOMIAS LONGIBARBATUS,Macrostomias longibarbatus,
PHOTOSTOMIAS GUERNEI,396,PHOTOSTOMIAS GUERNEI,Photostomias guernei,
OCELLATED FROGFISH,397,ANTENNARIUS OCELLATUS,Antennarius ocellatus,
FROGFISHES (NS),398,ANTENNARIIDAE F.,Sargassiers,
SARGASSUMFISH,399,HISTRIO HISTRIO,Sargassier,
MONKFISH;GOOSEFISH;ANGLER,400,LOPHIUS AMERICANUS,Baudroie d'AmÇrique,
DEEPSEA ANGLER,401,CERATIAS HOLBOELLI,Grand pàcheur abyssal,
TRIPLE WART SEA DEVIL,402,CRYPTOPSARAS COUESI,Petit pàcheur abyssal,
ATLANTIC FOOTBALLFISH,403,HIMANTOLOPHUS GROENLANDICUS,Football atlantique,
HIMANTOLOPHUS SP.,404,HIMANTOLOPHUS SP.,Himantolophus sp.,
CAULOPHRYNE JORDANI,405,CAULOPHRYNE JORDANI,Caulophryne jordani,
LINOPHRYNE ALGIBARBATA,406,LINOPHRYNE ALGIBARBATA,Linophryne algibarbata,
LINOPHRYNE CORONATA,407,LINOPHRYNE CORONATA,Linophryne coronata,
LINOPHRYNE LUCIFERA,408,LINOPHRYNE LUCIFERA,Linophryne lucifera,
AMERICAN STRAPTAIL GRENADIER,409,MALACOCEPHALUS OCCIDENTALIS,Queue-de-rat d'AmÇrique,
MARLIN-SPIKE GRENADIER,410,NEZUMIA BAIRDII,Grenadier du grand banc,
ROUGHHEAD GRENADIER,411,MACROURUS BERGLAX,Grenadier berglax,
ROUGHNOSE GRENADIER,412,TRACHYRINCUS MURRAYI,Grenadier-scie,
LONGNOSE GRENADIER,413,CAELORINCHUS CAELORINCHUS,Grenadier Ö long nez,
ROUNDNOSE GRENADIER,414,CORYPHAENOIDES RUPESTRIS,Grenadier de roche,
CAULOPHRYNIDAE,415,CAULOPHRYNIDAE F.,Caulophrynidae f.,
GRENADIERS (NS),416,MACROURIDAE F.,Grenadier sp.,
HETEROPHOTUS SP.,417,HETEROPHOTUS SP.,Heterophotus sp.,
GIGANTACTIS,418,GIGANTACTIS SP.,Gigantactis sp.,
PHOTONECTES MARGARITA,419,PHOTONECTES MARGARITA,Photonectes margarita,
MOJARRA (NS),420,GERREIDAE F.,Gerreidae f.,
MICROSTOMA MICROSTOMA,421,MICROSTOMA MICROSTOMA,Microstoma microstoma,
ARGYROPELECUS AFFINIS,422,ARGYROPELECUS AFFINIS,Argyropelecus affinis,
DIAPHUS LUCIDUS,423,DIAPHUS LUCIDUS,Diaphus lucidus,
DIAPHUS GARMANI,424,DIAPHUS GARMANI,Diaphus garmani,
EELS;MORAY (NS),425,MURAENIDAE F.,Muränes,
PYGMY MORAY,426,ANARCHIAS YOSHIAE,Anarchias yoshiae,
GYMNOTHORAX SP.,427,GYMNOTHORAX SP.,Gymnothorax sp.,
DIAPHUS BRACHYCEPHALUS,428,DIAPHUS BRACHYCEPHALUS,Diaphus brachycephalus,
EELS;CONGER,429,CONGRIDAE F.,Congres,
ARIOSOMA SP.,430,ARIOSOMA SP.,Ariosoma sp.,
CONGER SP.,431,CONGER SP.,Conger sp.,
HILDEBRANDIA SP.,432,HILDEBRANDIA SP.,Hildebrandia sp.,
NYSTACTICHTHYS SP.,433,NYSTACTICHTHYS SP.,Nystactichthys sp.,
PARACONGER SP.,434,PARACONGER SP.,Paraconger sp.,
PSEUDOPHICHTHUS SPLENDENS,435,PSEUDOPHICHTHUS SPLENDENS,Pseudophichthus splendens,
RHECHIAS SP.,436,RHECHIAS SP.,Rhechias sp.,
UROCONGER SP.,437,UROCONGER SP.,Uroconger sp.,
UROCONGER SYRINGINUS,438,UROCONGER SYRINGINUS,Uroconger syringinus,
DIAPHUS SPLENDIDUS,439,DIAPHUS SPLENDIDUS,Diaphus splendidus,
SNAKE EELS (NS),440,OPHICHTHIDAE F.,Serpents de mer,
AHLIA EGMONTIS,441,AHLIA EGMONTIS,Ahlia egmontis,
ACADEMY EEL,442,APTERICHTUS ANSP,Apterichtus ansp,
FINLESS EEL,443,APTERICHTUS KENDALLI,Apterichtus kendalli,
BASCANICHTHYS BASCANIUM,444,BASCANICHTHYS BASCANIUM,Bascanichthys bascanium,
CALLECHELYS SP.,445,CALLECHELYS SP.,Callechelys sp.,
CALLECHELYS MURAENA,446,CALLECHELYS MURAENA,Callechelys muraena,
ECHIOPHIS SP.,447,ECHIOPHIS SP.,Echiophis sp.,
MYROPHIS PLATYRHYNCHUS,448,MYROPHIS PLATYRHYNCHUS,Myrophis platyrhynchus,
MYROPHIS PUNCTATUS,449,MYROPHIS PUNCTATUS,Serpenton tachetÇ,
OPHICHTHUS SP.,450,OPHICHTHUS SP.,Ophichthus sp.,
SHRIMP EEL,451,OPHICHTHUS GOMESI,Ophichthus gomesi,
EEL;PALESPOTTED,452,OPHICHTHUS OCELLATUS,Ophichthus ocellatus,
DIAPHUS BERTELSENI,453,DIAPHUS BERTELSENI,Diaphus bertelseni,
LOWEINA RARA,454,LOWEINA RARA,Loweina rara,
EELS; CUTTHROAT (NS),455,SYNAPHOBRANCHIDAE F.,Anguilles ÇgorgÇes,
SYNAPHOBRANCHINAE S.F.,456,SYNAPHOBRANCHINAE S.F.,Synaphobranchinae s.f.,
EELS;SNUBNOSE (NS),457,SIMENCHELYINAE S.F.,Anguilles Ö nez court,
DYSOMMINAE S.F.,458,DYSOMMINAE S.F.,Dysomminae s.f.,
DYSOMMA SP.,459,DYSOMMA SP.,Dysomma sp.,
LAMPANYCTUS INTRICARIUS,460,LAMPANYCTUS INTRICARIUS,Lampanyctus intricarius,
LAMPADENA ATLANTICA,461,LAMPADENA ATLANTICA,Lampadena atlantica,
BOLINICHTHYS SUPRALATERALIS,462,BOLINICHTHYS SUPRALATERALIS,Bolinichthys supralateralis,
EELS;SNIPE (NS),463,NEMICHTHYIDAE F.,Avocettes,
NEMICHTHYS SP.,464,NEMICHTHYS SP.,Nemichthys sp.,
LAMPANYCTUS PHOTONOTUS,465,LAMPANYCTUS PHOTONOTUS,Lampanyctus photonotus,
DIOGENICHTHYS ATLANTICUS,466,DIOGENICHTHYS ATLANTICUS,Diogenichthys atlanticus,
HYGOPHUM TAANINGI,467,HYGOPHUM TAANINGI,Hygophum taaningi,
CERATOSCOPELUS WARMINGII,468,CERATOSCOPELUS WARMINGII,Ceratoscopelus warmingii,
LEPIDOPHANES GAUSSI,469,LEPIDOPHANES GAUSSI,Lepidophanes gaussi,
MORINGUIDEA F.,470,MORINGUIDEA F.,Moringuidea f.,
MORGINUA EDWARDSI,471,MORGINUA EDWARDSI,Morginua edwardsi,
NEOCONGER MUCRONATUS,472,NEOCONGER MUCRONATUS,Neoconger mucronatus,
BENTHOSEMA SUBORBITALE,473,BENTHOSEMA SUBORBITALE,Lanterne feu-avant,
MYCTOPHUM NITIDULUM,474,MYCTOPHUM NITIDULUM,Myctophum nitidulum,
NETTASTOMATIDAE F.,475,NETTASTOMATIDAE F.,Nettastomatidae f.,
NETTASTOMA SP.,476,NETTASTOMA SP.,Nettastoma sp.,
HOPLUNNIS SP.,477,HOPLUNNIS SP.,Hoplunnis sp.,
NOTOSCOPELUS CAUDISPINOSUS,478,NOTOSCOPELUS CAUDISPINOSUS,Notoscopelus caudispinosus,
MACROPARALEPIS AFFINE,479,MACROPARALEPIS AFFINE,Macroparalepis affine,
XENOCONGRIDAE F.,480,XENOCONGRIDAE F.,Xenocongridae f.,
CHLOPSIS BICOLOR,481,CHLOPSIS BICOLOR,Chlopsis bicolor,
KAUPICHTHYS HYOPROROIDES,482,KAUPICHTHYS HYOPROROIDES,Kaupichthys hyoproroides,
LESTROLEPIS INTERMEDIA,483,LESTROLEPIS INTERMEDIA,Lestrolepis intermedia,
PARALEPIS ELONGATA,484,PARALEPIS ELONGATA,Paralepis elongata,
MURAENESOCIDAE F.,485,MURAENESOCIDAE F.,Muraenesocidae f.,
PARAXENOMYSTAX SP.,486,PARAXENOMYSTAX SP.,Paraxenomystax sp.,
LESTIDIOPS SP.,487,LESTIDIOPS SP.,Lestidiops sp.,
EVERMANELLA INDICA,488,EVERMANELLA INDICA,Evermanella indica,
SCOPELOSAURUS ARGENTEUS,489,SCOPELOSAURUS ARGENTEUS,Scopelosaurus argenteus,
ALDROVANDIA GRACILIS,490,ALDROVANDIA GRACILIS,Halosaures,
TILUROPSIS SP.,491,TILUROPSIS SP.,Tiluropsis sp.,
SCOPELOSAURUS SMITHII,492,SCOPELOSAURUS SMITHII,Scopelosaurus smithii,
MELAMPHAES TYPHLOPS,493,MELAMPHAES TYPHLOPS,Melamphaes typhlops,
SCOPELOBERYX ROBUSTUS,494,SCOPELOBERYX ROBUSTUS,Scopeloberyx robustus,
PTERYCOMBUS BRAMA,495,PTERYCOMBUS BRAMA,Poisson-Çventail Atlantique,
DRACONETTA ACANTHOPOMA,496,DRACONETTA ACANTHOPOMA,Dragonnet,
PRISTIPOMOIDES AQUILONARIS,497,PRISTIPOMOIDES AQUILONARIS,Colas vorace,
YELLOWFIN BASS,498,ANTHIAS NICHOLSI,Anthias nicholsi,
OPHICHTHUS PUNCTICEPS,499,OPHICHTHUS PUNCTICEPS,Serpenton ocellÇ,
SEASNAIL UNIDENTIFIED,500,LIPARIS SP.,Limace non spÇcifiÇe,
LUMPFISH,501,CYCLOPTERUS LUMPUS,Grosse poule de mer,
ATLANTIC SPINY LUMPSUCKER,502,EUMICROTREMUS SPINOSUS,Petite poule de mer atlantique,
ATLANTIC SEASNAIL,503,LIPARIS ATLANTICUS,Limace atlantique,
STRIPED SEASNAIL,504,LIPARIS LIPARIS,Limace barrÇe,
SEASNAIL;GELATINOUS,505,LIPARIS FABRICII,Limace gÇlatineuse,
GREENLAND SEASNAIL,506,LIPARIS TUNICATUS,Limace de laminaires,
LONGFIN SEASNAIL,507,CAREPROCTUS LONGIPINNIS,Limace Ö longues nageoires,
INQUILINE SEASNAIL,508,LIPARIS INQUILINUS,Limaces des pectens,
LEATHERFIN LUMPSUCKER,509,EUMICROTREMUS DERJUGINI,Petite poule de mer arctique,
TOAD FISH,510,OPSANUS TAU,Opsanus tau,
BLACKSNOUT SEASNAIL,511,PARALIPARIS COPEI,Limace Ö museau noir,
SEASNAIL;DUSKY,512,LIPARIS GIBBUS,Limace marbrÇe,
GULF SEA SNAIL,513,LIPARIS COHENI,Liparis coheni,
LUMPFISHES;SEASNAILS (NS),514,CYCLOPTERIDAE F.,Poules de mer,
SEA TADPOLE(NS),515,CAREPROCTUS  SP.,Limaces sp.,
SERRANUS SP.,516,SERRANUS SP.,Serranus sp.,
AHLIESAURUS BERRYI,517,AHLIESAURUS BERRYI,Ahliesaurus berryi,
ARISTOSTOMIAS LUNIFER,518,ARISTOSTOMIAS LUNIFER,Aristostomias lunifer,
ARISTOSTOMIAS POLYDACTYLUS,519,ARISTOSTOMIAS POLYDACTYLUS,Aristostomias polydactylus,
SEA TADPOLE,520,CAREPROCTUS REINHARDTI,Petite limace de mer,
ASTRONESTHES CYANEUS,521,ASTRONESTHES CYANEUS,Astronesthes cyaneus,
ASTRONESTHES LEUCOPOGON,522,ASTRONESTHES LEUCOPOGON,Astronesthes leucopogon,
ASTRONESTHES NIGER,523,ASTRONESTHES NIGER,Dragon-saumon noir,
ASTRONESTHES SIMILIS,524,ASTRONESTHES SIMILIS,Astronesthes similis,
BATHOPHILUS PROXIMUS,525,BATHOPHILUS PROXIMUS,Bathophilus proximus,
BATHYLAGUS BERICOIDES,526,BATHYLAGUS BERICOIDES,Bathylagus berycoides,
BENTHALBELLA INFANS,527,BENTHALBELLA INFANS,Oeil-perlÇ nordique,
BENTHODESMUS SP.,528,BENTHODESMUS SP.,Benthodesmus sp.,
BOLINICHTHYS INDICUS,529,BOLINICHTHYS INDICUS,Bolinichthys indicus,
GAPPER,530,CHAUNAX SP.,Chaunax sp.,
CUBICEPS SP.,531,CUBICEPS SP.,Cubiceps sp.,
CUBICEPS GRACILIS,532,CUBICEPS GRACILIS,Pompile ÇlancÇ,
COCCORELLA ATLANTICA,533,COCCORELLA ATLANTICA,Coccorella atlantica,
CUBICEPS CAPENSIS,534,CUBICEPS CAPENSIS,Pompile du Cap,
DIAPHUS FRAGILIS,535,DIAPHUS FRAGILIS,Diaphus fragilis,
DIAPHUS HOLTI,536,DIAPHUS HOLTI,Diaphus holti,
DIAPHUS ROEI,537,DIAPHUS ROEI,Diaphus roei,
DIPLOPHOS TAENIA,538,DIPLOPHOS TAENIA,Diplophus taenia,
DOLICHOPTERYX BINOCULARIS,539,DOLICHOPTERYX BINOCULARIS,Dolichopteryx binocularis,
DIAPHUS TAANINGI,540,DIAPHUS TAANINGI,Diaphus taaningi,
ECHIOSTOMA BARBATUM,541,ECHIOSTOMA BARBATUM,Echiostoma barbatum,
EUSTOMIAS BIBULBOSUS,542,EUSTOMIAS BIBULBOSUS,Eustomias bibulbosus,
EUSTOMIAS DUBIUS,543,EUSTOMIAS DUBIUS,Eustomias dubius,
EUSTOMIAS FILIFER,544,EUSTOMIAS FILIFER,Eustomias filifer,
EUSTOMIAS OBSCURUS,545,EUSTOMIAS OBSCURUS,Eustomias obscurus,
EUSTOMIAS SCHMIDTI,546,EUSTOMIAS SCHMIDTI,Eustomias schmidti,
EUSTOMIAS TETRANEMA,547,EUSTOMIAS TETRANEMA,Eustomias tetranema,
ANGLEMOUTHS (NS),548,GONOSTOMA  SP.,Gonostomes,
LAMPADENA CHAVESI,549,LAMPADENA CHAVESI,Lampadena chavesi,
LAMPANYCTUS LINEATUS,550,LAMPANYCTUS LINEATUS,Lampanyctus lineatus,
LAMPANYCTUS NOBILIS,551,LAMPANYCTUS NOBILIS,Lampanyctus nobilis,
LEPIDOPHANES SP.,552,LEPIDOPHANES SP.,Lepidophanes sp.,
LESTIDIOPS AFFINIS,553,LESTIDIOPS AFFINIS,Lestidiops affinis,
LINOPHRYNE SP.,554,LINOPHRYNE SP.,Linophryne sp.,
LOPHOTUS LACEPEDEI,555,LOPHOTUS LACEPEDEI,Lophotus lacepedei,
LONGSPINE SNIPEFISH,556,MACRORHAMPHOSUS SCOLOPAX,Macrorhamphosus scolopax,
MELAMPHAES SUBORBITALIS,557,MELAMPHAES SUBORBITALIS,Melamphaes suborbitalis,
MELAMPHAEIDAE,558,MELAMPHAEIDAE,Melamphaeidae,
MYCTOPHUM SELENOPS,559,MYCTOPHUM SELENOPS,Myctophum selenops,
FISHES;BONY (NS),560,OSTEICHTHYES C.,Poissons osseux,
NANSENIA OBLITA,561,NANSENIA OBLITA,Argentine oubliÇe,
NEMICHTHYS CURVIROSTRIS,562,NEMICHTHYS CURVIROSTRIS,Nemichthys curvirostris,
NEOEPINNULA ORIENTALIS,563,NEOEPINNULA ORIENTALIS,Neoepinnula orientalis,
OPISTHOPROCTUS SOLEATUS,564,OPISTHOPROCTUS SOLEATUS,Opisthoproctus soleatus,
BARRACUDINA (NS),565,PARALEPIS  SP.,Lussions,
PHOTONECTES SP.,566,PHOTONECTES SP.,Photonectes sp.,
NEOCONGER SP.,567,NEOCONGER SP.,Neoconger sp.,
POECILOPSETTA SP.,568,POECILOPSETTA SP.,Poecilopsetta sp.,
POROMITRA SP.,569,POROMITRA SP.,Poromitra sp.,
SCOPELARCHUS MICHAELSARSI,570,SCOPELARCHUS MICHAELSARSI,Scopelarchus michaelsarsi,
SCOPELOGADUS SP.,571,SCOPELOGADUS SP.,Scopelogadus sp.,
SCOPELOSAURUS (NS),572,SCOPELOSAURUS SP.,Guetteurs,
SQUALIOLUS LATICAUDUS,573,SQUALIOLUS LATICAUDUS,Squaliolus laticaudus,
STOMIAS BREVIBARBATUS,574,STOMIAS BREVIBARBATUS,Dragon,
STYLEPHORUS CHORDATUS,575,STYLEPHORUS CHORDATUS,Stylephorus chordatus,
BLACKMOUTH BASS,576,SYNAGROPS BELLA,Beau gueulard,
ZENION HOLOLEPIS,577,ZENION HOLOLEPIS,Zenion hololepis,
CHAETODON SP.,578,CHAETODON SP.,Chaetodon sp.,
BANDTOOTH CONGER,579,ARIOSOMA BALEARICUM,Congre des BalÇares,
PERISTEDION SP.,580,PERISTEDION SP.,Peristedion sp.,
BATHYCLUPEA ARGENTEA,581,BATHYCLUPEA ARGENTEA,Bathyclupea argentea,
EPIGONUS OCCIDENTALIS,582,EPIGONUS OCCIDENTALIS,Epigonus occidentalis,
ARISTOSTOMIAS PHOTODACTYLUS,583,ARISTOSTOMIAS PHOTODACTYLUS,Aristostomias photodactylus,
ACANTHURUS SP.,584,ACANTHURUS SP.,Acanthurus sp.,
CORYPHAENA EQUISELIS,585,CORYPHAENA EQUISELIS,Coryphäne dauphin,
SEAWEED BLENNY,586,PARABLENNIUS MARMOREUS,Parablennius marmoreus,
EPIGONUS PANDIONIS,587,EPIGONUS PANDIONIS,Epigonus pandionis,
SCOPELOSAURUS LEPIDUS,588,SCOPELOSAURUS LEPIDUS,Guetteur Ö nageoire noire,
CHOCOLATE SKATE,589,RAJELLA BIGELOWI,Raja bigelow,
SAND LANCES (NS),590,AMMODYTIDAE F.,Lanáons,
BREVIRAJA SPINOSA,591,BREVIRAJA SPINOSA,Breviraja spinosa,
SHARK (NS),592,SHARK (NS),Requin (ns),
GREENEYES (NS),593,CHLOROPHTHALMIDAE,Oeil-verts,
SMOOTHHEAD;AGASSIZ'S,594,ALEPOCEPHALUS AGASSIZII,AlocÇphale d'Agassiz,
RED DORY,595,CYTTOPSIS ROSEA,Cyttus roseus,
BIGEYE SMOOTH-HEAD,596,BAJACALIFORNIA MEGALOPS,Bajacalifornia megalops,
BLENNIIDAE SP.,597,BLENNIIDAE SP.,Blenniidae sp.,
EELPOUTS (NS),598,ZOARCIDAE F.,Lycodes,
AMERICAN SAND LANCE,599,AMMODYTES AMERICANUS,Lanáon d'AmÇrique,
AMERICAN EEL,600,ANGUILLA ROSTRATA,Anguille amÇricaine,
SNUBNOSE EEL; SLIME EEL,601,SIMENCHELYS PARASITICA,Anguille Ö nez court,
GRAY'S CUTTHROAT EEL,602,SYNAPHOBRANCHUS KAUPI,Anguille ÇgorgÇe bÇcuÇe,
WOLF EELPOUT,603,LYCENCHELYS VERRILLI,Lycode Ö tàte longue,
SNIPE EEL,604,NEMICHTHYS SCOLOPACEUS,Avocette ruban,
GREEN MORAY,606,GYMNOTHORAX FUNEBRIS,Muräne verte,
DUCKBILL OCEANIC EEL,607,NESSORHAMPHUS INGOLFIANUS,Nesso,
CONGER EEL,608,CONGER OCEANICUS,Congre amÇricain,
SNAKE EEL,609,OPHICHTHUS CRUENTIFER,Ophichthus cruentifer,
NORTHERN SAND LANCE,610,AMMODYTES DUBIUS,Lanáon du nord,
SAND LANCE (NS),611,AMMODYTES SP.,Ammodytes sp.,
DERICHTHYS SERPENTINUS,612,DERICHTHYS SERPENTINUS,Derichthys serpentinus,
STOUT SAWPALATE,613,SERRIVOMER BEANI,Serrivomer trapu,
PELICAN GULPER,614,EURYPHARYNX PELECANOIDES,Grand gousier pÇlican,
BACKFIN TAPIRFISH,615,LIPOGENYS GILLII,Tapir Ö dorsale,
FISH DOCTOR,616,GYMNELIS VIRIDIS,Unernak,
COMMON WOLF EEL,617,LYCENCHELYS PAXILLUS,Lycode commune,
SARS WOLF EEL,618,LYCENCHELYS SARSI,Lycode de Sars,
EELPOUT;NEWFOUNDLAND,619,LYCODES TERRAENOVA,Lycodes terraenova,
LAVAL'S EELPOUT,620,LYCODES LAVALAEI,Lycode de Laval,
ROCK GUNNEL(EEL),621,PHOLIS GUNNELLUS,Sigouine de roche,
SNAKE BLENNY,622,LUMPENUS LUMPRETAEFORMIS,LompÇnie serpent,
DAUBED SHANNY,623,LUMPENUS MACULATUS,LompÇnie tachetÇe,
ARCTIC SHANNY,624,STICHAEUS PUNCTATUS,StichÇe arctique,
RADIATED SHANNY,625,ULVARIA SUBBIFURCATA,Ulvaire deux-lignes,
4-LINE SNAKE BLENNY,626,EUMESOGRAMMUS PRAECISUS,Quatre-lignes atlantique,
PALE EELPOUT,627,LYCODES PALLIDUS,Lycode pale,
POLAR EELPOUT,628,LYCODES POLARIS,Lycode polaire,
YARRELL'S BLENNY,629,CHIROLOPHUS ASCANII,Toupet marbrÇ,
WRYMOUTH,630,CRYPTACANTHODES MACULATUS,Terrassier tachetÇ,
SLENDER EELBLENNY,631,LUMPENUS FABRICII,LompÇnie ÇlancÇe,
STOUT EELBLENNY,632,LUMPENUS MEDIUS,LompÇnie naine,
BANDED GUNNEL,633,PHOLIS FASCIATA,Sigouine rubannÇe,
UNIDENTIFIED EELS,634,ANGUILLOIDEI S.O.,Anguilloidei s.o.,
DRAGONETS,635,CALLIONYMIDAE F.,Dragonnets,
PERCHLIKE FISHES,636,PERCIFORMES O.,Percoides,
SPOTFIN DRAGONET,637,FOETOREPUS AGASSIZI,Callionymus agassizi,
SERRIVOMER BREVIDENTATUS,638,SERRIVOMER BREVIDENTATUS,Serrivomer Ö dents courtes,
PRICKLEBACKS,639,STICHAEIDAE F.,StichÇes,
OCEAN POUT(COMMON),640,MACROZOARCES AMERICANUS,Loquette d'AmÇrique,
ARCTIC EELPOUT,641,LYCODES RETICULATUS,Lycode arctique,
EELPOUTS(NS),642,LYCODES SP.,Lycode non spÇcifiÇe,
VACHON'S EELPOUT,643,LYCODES ESMARKI,Grande lycode (Esmark),
BLENNIES;SHANNIES;GUNNELS,644,BLENNIOIDEI S.O.,Blennies,
SHANNY-UNIDENTIFIED,645,LUMPENIDAE F.,LompÇnies,
ATLANTIC SOFT POUT,646,MELANOSTIGMA ATLANTICUM,Molasse atlantique,
SHORTTAILED EELPOUT(VAHL),647,LYCODES VAHLII,Lycode de Vahl,
EEL-UNIDENTIFIED,648,ANGUILLIDAE F.,Anguilles,
CUSK-EELS INCLUDES BROTULIDAE F.,649,OPHIDIIDAE,Brotulas,
FAWN CUSK EEL,650,LEPOPHIDIUM PROFUNDORUM,Donzelle fauve,
EUROPEAN EEL,651,ANGUILLA ANGUILLA,Anguilla anguilla,
PERCOIDEI F.,652,PERCOIDEI S.O.,Percoides,
CORAL DRAGONET,653,CALLIONYMUS BAIRDI,Callionymus bairdi,
MOONEYE CUSK-EEL,654,OPHIDION SELENOPS,Donzelle Ö grands yeux,
BYTHITIDAE F.,655,BYTHITIDAE F.,Bythitidae f.,
SERRIVOMER SP.,656,SERRIVOMER SP.,Serrivomer sp.,
CALLIONYMUS SP.,657,CALLIONYMUS SP.,Callionymus sp.,
CALLIONYMUS PAUCIRADIATUS,658,CALLIONYMUS PAUCIRADIATUS,Callionymus pauciradiatus,
FACCIOLELLA SP.,659,FACCIOLELLA SP.,Facciolella sp.,
CUSK EELS (NS),660,OPHIDIOIDEI S.O.,Brotulas,
RED BARBIER,661,HEMANTHIAS VIVANUS,Hemanthias vivanus,
SPINY EELS (NS),662,NOTACANTHIDAE F.,Anguilles Çpineuses,
DIPLECTRUM SP.,663,DIPLECTRUM SP.,Diplectrum sp.,
SEA BASSES,664,MYCTEROPERCA SP.,Mycteroperca sp.,
DRAGONFISHES;SMOOTH,665,MELANOSTOMIATIDAE (STOMIATIDAE) F.,Dragons lisses,
LESTIDIUM ATLANTICUM,666,LESTIDIUM ATLANTICUM,Lestidium atlanticum,
VINCIGUERRIA POWERIAE,667,VINCIGUERRIA POWERIAE,Vinciguerria poweriae,
ANTHIAS SP.,668,ANTHIAS SP.,Anthias sp.,
ATHERINIDAE F.,669,ATHERINIDAE F.,Capucettes,
EUSTOMIAS FISSIBARBIS,670,EUSTOMIAS FISSIBARBIS,Eustomias fissibarbis,
VINCIGUERRIA ATTENUATA,671,VINCIGUERRIA ATTENUATA,Vinciguerria attenuata,
